mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34.6096266746521,18.50711721856626,0.3025354862213135,0.010674229994313562,500,5,1,0.8,15,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 15}",-7.3913689412662364,-5.029648027298566,-5.171791100701798,-6.141328926165357,-6.475579882439177,-6.041943375574228,0.8718686046305077,44
3.5669477462768553,1.8064783958041197,0.09166269302368164,0.01261184215399172,200,10,5,log2,15,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 15}",-6.517463801785317,-4.668858935769951,-4.481421206243473,-6.469618221768299,-6.439576368961146,-5.715387706905637,0.9332239541876728,2
9.007024669647217,5.542573512829055,0.8848412990570068,1.4138665469094618,300,2,2,sqrt,30,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30}",-6.666455814106203,-4.649868960483418,-4.625691580028488,-6.467896830873587,-6.6201067310889234,-5.806003983316124,0.9561410292487156,28
26.23093910217285,12.823570280667651,0.32738242149353025,0.01994208997325298,500,5,1,0.5,20,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20}",-6.8019312968141366,-4.798870075107238,-4.963975720671231,-6.117014910490241,-6.531295695909301,-5.84261753979843,0.8162444021878353,35
4.076649570465088,2.8380014690129802,0.061918783187866214,0.004744753409149509,200,10,5,sqrt,10,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 10}",-6.551752083614948,-4.715308020687623,-4.382861571960947,-6.632419824720124,-6.34747638249101,-5.72596357669493,0.9711040524601372,6
27.04869294166565,13.12840285444025,0.22828664779663085,0.02073085480269415,300,2,1,0.8,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': None}",-7.413993706590046,-5.051991153316714,-5.23985793171092,-6.112588005374469,-6.481686295543956,-6.060023418507221,0.8605345585241103,50
7.954166555404663,2.0600515485501947,0.16687188148498536,0.028514084574376652,300,10,1,log2,30,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30}",-6.604386018257968,-4.621075705310765,-4.693113003463923,-6.418475103926705,-6.621838428507782,-5.791777651893429,0.9294826522087906,20
9.9491858959198,5.183419651732001,0.24169812202453614,0.03654608078174413,500,10,5,sqrt,20,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 20}",-6.571840468446407,-4.661009606249472,-4.564521515719468,-6.394003987161294,-6.537216273690669,-5.745718370253462,0.9274739894170446,9
17.994880437850952,9.846654115696218,0.17573447227478028,0.00983733982564265,300,2,1,0.8,15,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.8, 'max_depth': 15}",-7.393780043131135,-5.021302428510292,-5.227957457845189,-6.138984185099028,-6.484591018473738,-6.053323026611876,0.8644593414412438,49
5.077058362960815,2.5580208928771797,0.12301344871520996,0.009879095929492583,300,5,5,log2,15,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2', 'max_depth': 15}",-6.524447516004976,-4.678818300937844,-4.522958727127921,-6.463620387802218,-6.4680071876515,-5.731570423904893,0.9247615482722532,8
